District,Year,Season,Crop,Rainfall_mm,Temp_Min_C,Temp_Max_C,Humidity_Pct,pH_Level,Nitrogen_kgha,Phosphorus_kgha,Potassium_kgha,Yield_Tonnes_Hectare
Madurai,2023,Kharif,Groundnut,435.41,22.86,31.49,64.21,6.34,68.21,54.13,53.83,1.55
Madurai,2023,Rabi,Paddy,229.88,22.65,29.03,69.43,6.25,101.35,55.3,51.33,2.67
Madurai,2023,Rabi,Sugarcane,252.31,23.16,32.99,62.46,6.67,91.09,42.35,74.33,44.0
Madurai,2023,Rabi,Cotton,98.8,21.53,36.86,66.33,7.08,78.19,36.89,47.38,0.75
Madurai,2023,Rabi,Maize,283.71,22.19,26.6,78.96,6.59,100.32,27.22,81.95,3.3
Madurai,2023,Rabi,Groundnut,153.59,20.36,31.83,61.02,7.03,141.85,35.12,49.38,1.6
Coimbatore,2020,Kharif,Paddy,607.38,20.59,32.59,76.53,6.12,113.47,44.22,57.42,2.59
Coimbatore,2020,Kharif,Sugarcane,485.56,21.34,29.96,81.61,6.78,93.38,49.0,53.44,39.23
Coimbatore,2020,Kharif,Cotton,455.99,19.82,34.36,81.92,5.9,110.26,34.67,58.87,0.79
Coimbatore,2020,Kharif,Maize,405.07,21.61,31.17,68.14,6.69,120.2,30.08,55.6,3.03
Coimbatore,2020,Kharif,Groundnut,388.93,19.94,30.81,74.33,6.49,84.27,56.53,59.87,1.61
Coimbatore,2020,Rabi,Paddy,151.75,20.66,30.41,82.94,6.97,83.85,19.69,62.74,2.66
Coimbatore,2020,Rabi,Sugarcane,223.58,23.39,34.24,81.89,6.61,52.88,27.08,63.03,36.33
Coimbatore,2020,Rabi,Cotton,201.44,22.25,32.07,72.43,6.32,113.96,47.71,42.86,0.86
Coimbatore,2020,Rabi,Maize,140.36,20.6,34.71,73.0,6.72,93.31,37.37,80.22,2.88
Coimbatore,2020,Rabi,Groundnut,281.61,17.94,31.76,80.85,5.81,131.15,45.81,81.41,1.49
Coimbatore,2021,Kharif,Paddy,380.73,18.22,28.3,53.88,7.02,86.67,50.31,33.41,2.46
Coimbatore,2021,Kharif,Sugarcane,547.93,23.79,29.99,64.14,6.02,116.59,41.98,78.31,36.79
Coimbatore,2021,Kharif,Cotton,485.94,21.33,30.43,71.36,6.85,77.36,48.42,75.19,0.76
Coimbatore,2021,Kharif,Maize,541.58,20.31,30.55,85.0,6.46,107.95,40.04,73.67,2.94
Coimbatore,2021,Kharif,Groundnut,394.31,23.69,32.01,78.98,7.68,91.34,46.05,69.96,1.29
Coimbatore,2021,Rabi,Paddy,163.44,21.56,32.51,69.31,6.46,75.49,37.69,60.02,2.39
Coimbatore,2021,Rabi,Sugarcane,168.33,22.18,33.92,93.25,6.75,93.31,40.17,52.44,38.49
Coimbatore,2021,Rabi,Cotton,255.36,20.43,34.62,72.07,6.6,85.34,48.17,65.68,0.74
Coimbatore,2021,Rabi,Maize,222.98,21.95,39.04,64.29,7.43,88.35,44.6,56.31,3.24
Coimbatore,2021,Rabi,Groundnut,237.13,21.85,34.04,93.47,6.86,124.85,47.71,32.41,1.57
Coimbatore,2022,Kharif,Paddy,453.95,21.99,33.03,67.21,6.4,106.81,44.48,91.25,2.52
Coimbatore,2022,Kharif,Sugarcane,398.79,21.5,32.4,66.43,6.97,107.8,33.35,47.27,36.59
Coimbatore,2022,Kharif,Cotton,435.92,20.54,33.35,72.87,7.35,108.16,40.83,62.1,0.79
Coimbatore,2022,Kharif,Maize,634.21,19.32,30.24,80.16,5.75,105.4,22.67,50.03,2.91
Coimbatore,2022,Kharif,Groundnut,603.97,24.81,32.29,59.86,6.72,91.11,43.03,47.36,1.36
Coimbatore,2022,Rabi,Paddy,228.19,21.04,29.77,66.93,6.47,88.13,27.21,44.74,2.7
Coimbatore,2022,Rabi,Sugarcane,173.16,24.35,35.09,83.14,6.72,77.5,33.43,62.43,38.88
Coimbatore,2022,Rabi,Cotton,237.99,23.79,33.27,76.37,5.66,133.82,41.51,46.66,0.83
Coimbatore,2022,Rabi,Maize,197.25,21.76,33.77,92.59,6.51,90.1,46.42,36.92,2.77
Coimbatore,2022,Rabi,Groundnut,335.59,21.81,32.59,70.04,6.52,92.13,35.37,49.11,1.55
Coimbatore,2023,Kharif,Paddy,709.94,18.88,32.3,70.24,6.17,112.33,38.2,72.49,2.36
Coimbatore,2023,Kharif,Sugarcane,497.34,24.79,32.62,76.34,6.42,90.62,30.45,59.8,36.39
Coimbatore,2023,Kharif,Cotton,436.08,19.49,32.44,85.36,6.31,102.06,54.31,35.21,0.72
Coimbatore,2023,Kharif,Maize,475.6,20.62,29.4,81.41,6.15,110.8,24.84,50.38,2.89
Coimbatore,2023,Kharif,Groundnut,499.98,21.92,30.28,78.42,6.71,110.74,49.66,61.44,1.58
Coimbatore,2023,Rabi,Paddy,175.34,21.93,33.08,73.6,6.63,120.83,41.64,72.49,2.49
Coimbatore,2023,Rabi,Sugarcane,278.4,20.43,29.23,71.11,6.39,101.71,51.07,42.42,42.18
Coimbatore,2023,Rabi,Cotton,174.72,20.51,29.58,57.0,6.84,105.66,54.61,54.65,0.84
Coimbatore,2023,Rabi,Maize,139.28,22.33,32.95,71.28,6.4,111.9,42.51,49.87,3.02
Coimbatore,2023,Rabi,Groundnut,164.5,20.1,32.5,57.77,6.49,130.7,15.64,26.19,1.62
Tiruchirappalli,2020,Kharif,Paddy,347.31,23.3,33.63,82.57,5.62,71.32,37.32,38.83,2.66
Tiruchirappalli,2020,Kharif,Sugarcane,665.77,20.39,30.97,70.47,7.63,114.85,48.06,70.89,32.9
Tiruchirappalli,2020,Kharif,Cotton,504.36,20.66,31.42,50.12,6.36,93.62,44.31,59.93,0.77
Tiruchirappalli,2020,Kharif,Maize,529.56,24.7,28.83,84.26,7.05,94.3,43.18,58.95,3.16
Tiruchirappalli,2020,Kharif,Groundnut,419.39,21.25,31.69,55.87,6.39,67.3,37.59,64.9,1.46
Tiruchirappalli,2020,Rabi,Paddy,220.5,21.62,29.98,61.28,7.01,78.62,45.68,51.72,2.66
Tiruchirappalli,2020,Rabi,Sugarcane,247.37,19.32,32.17,61.76,5.62,116.17,37.22,43.47,38.07
Tiruchirappalli,2020,Rabi,Cotton,173.24,23.94,33.13,54.61,7.0,64.28,26.37,61.1,0.72
Tiruchirappalli,2020,Rabi,Maize,267.36,23.53,31.46,68.06,6.22,85.18,33.0,51.64,3.24
Tiruchirappalli,2020,Rabi,Groundnut,202.73,18.3,30.03,66.98,5.25,83.64,23.87,76.1,1.4
Tiruchirappalli,2021,Kharif,Paddy,470.42,22.94,30.26,68.51,6.36,64.11,34.84,46.64,2.38
Tiruchirappalli,2021,Kharif,Sugarcane,376.9,22.23,31.36,76.6,5.84,89.83,30.16,42.17,41.82
Tiruchirappalli,2021,Kharif,Cotton,490.7,18.68,31.2,69.89,6.65,107.8,40.59,82.37,0.81
Tiruchirappalli,2021,Kharif,Maize,621.81,23.03,33.29,49.31,6.76,162.39,44.84,62.29,2.93
Tiruchirappalli,2021,Kharif,Groundnut,666.3,21.07,35.35,57.0,6.24,126.05,37.26,31.7,1.5
Tiruchirappalli,2021,Rabi,Paddy,196.97,23.83,29.44,81.54,5.33,135.45,31.71,41.49,2.09
Tiruchirappalli,2021,Rabi,Sugarcane,252.79,19.47,27.94,68.54,6.87,121.17,37.79,76.52,36.72
Tiruchirappalli,2021,Rabi,Cotton,269.08,19.8,35.29,79.59,5.65,98.06,36.31,34.62,0.72
Tiruchirappalli,2021,Rabi,Maize,131.03,23.29,32.64,81.33,6.67,110.95,32.67,55.82,2.72
Tiruchirappalli,2021,Rabi,Groundnut,113.8,23.67,30.53,71.7,6.42,75.65,32.1,55.79,1.45
Tiruchirappalli,2022,Kharif,Paddy,447.19,20.84,30.59,63.84,6.11,88.73,36.3,76.78,2.42
Tiruchirappalli,2022,Kharif,Sugarcane,516.73,21.0,31.64,38.18,6.33,68.48,48.87,76.54,40.92
Tiruchirappalli,2022,Kharif,Cotton,508.49,23.2,33.07,71.95,7.01,83.12,35.4,56.95,0.84
Tiruchirappalli,2022,Kharif,Maize,618.68,21.62,32.48,91.39,6.94,72.5,39.04,46.53,3.2
Tiruchirappalli,2022,Kharif,Groundnut,432.96,21.35,34.02,69.53,5.85,115.91,39.58,60.11,1.5
Tiruchirappalli,2022,Rabi,Paddy,176.54,21.84,32.09,44.51,6.43,76.54,44.01,49.99,2.45
Tiruchirappalli,2022,Rabi,Sugarcane,108.11,21.27,30.15,70.12,7.51,70.7,48.42,82.56,37.65
Tiruchirappalli,2022,Rabi,Cotton,210.22,21.38,33.86,76.72,6.5,106.65,45.0,37.26,0.72
Tiruchirappalli,2022,Rabi,Maize,301.49,17.41,32.16,68.78,6.42,119.71,43.75,74.28,3.28
Tiruchirappalli,2022,Rabi,Groundnut,161.56,25.95,33.52,64.21,6.4,127.54,41.77,60.39,1.43
Tiruchirappalli,2023,Kharif,Paddy,639.1,20.65,33.01,82.1,6.92,123.45,40.99,76.95,2.51
Tiruchirappalli,2023,Kharif,Sugarcane,467.92,23.67,33.62,58.09,6.74,132.9,47.69,74.63,37.49
Tiruchirappalli,2023,Kharif,Cotton,472.84,19.3,31.64,55.24,5.04,131.44,28.46,50.65,0.79
Tiruchirappalli,2023,Kharif,Maize,282.01,22.23,30.39,67.33,6.93,89.12,49.64,52.49,2.21
Tiruchirappalli,2023,Kharif,Groundnut,583.4,22.67,28.15,74.11,7.16,101.97,53.04,45.39,1.48
Tiruchirappalli,2023,Rabi,Paddy,233.98,22.09,32.21,77.43,6.97,80.4,32.42,72.09,2.6
Tiruchirappalli,2023,Rabi,Sugarcane,158.09,24.42,31.83,79.06,7.9,78.06,48.63,59.85,32.44
Tiruchirappalli,2023,Rabi,Cotton,236.88,22.45,32.63,80.24,7.08,99.2,57.85,73.87,0.86
Tiruchirappalli,2023,Rabi,Maize,262.96,21.04,34.15,61.35,6.08,79.4,53.53,54.27,2.84
Tiruchirappalli,2023,Rabi,Groundnut,99.64,22.67,29.93,85.73,5.29,128.1,60.61,53.59,1.28
Salem,2020,Kharif,Paddy,549.81,23.45,29.63,44.1,5.82,119.85,44.65,46.82,2.46
Salem,2020,Kharif,Sugarcane,462.71,24.09,30.42,59.47,7.11,134.05,38.22,36.42,43.11
Salem,2020,Kharif,Cotton,489.12,24.37,31.41,78.82,6.44,64.68,36.51,60.61,0.74
Salem,2020,Kharif,Maize,486.65,21.71,32.5,60.26,6.69,122.15,39.58,61.51,2.76
Salem,2020,Kharif,Groundnut,445.2,20.34,31.67,80.18,7.16,83.64,35.8,79.22,1.63
Salem,2020,Rabi,Paddy,279.15,22.78,34.98,75.06,6.99,97.78,40.07,52.7,2.63
Salem,2020,Rabi,Sugarcane,171.16,24.6,34.25,69.21,6.36,136.29,32.91,68.92,39.87
Salem,2020,Rabi,Cotton,249.87,26.01,32.3,66.34,6.33,78.23,45.83,81.19,0.76
Salem,2020,Rabi,Maize,199.14,20.59,31.97,76.37,6.33,87.79,40.55,49.34,3.26
Salem,2020,Rabi,Groundnut,89.89,21.48,36.56,69.41,6.05,83.13,26.57,59.73,1.55
Salem,2021,Kharif,Paddy,449.4,16.4,35.92,71.37,6.76,91.23,38.8,47.7,2.35
Salem,2021,Kharif,Sugarcane,553.37,20.12,31.08,71.09,6.78,82.06,53.19,62.44,36.03
Salem,2021,Kharif,Cotton,641.78,24.48,29.14,65.19,6.7,130.16,35.17,58.65,0.78
Salem,2021,Kharif,Maize,523.55,19.54,33.8,84.26,5.66,119.43,36.45,40.12,3.19
Salem,2021,Kharif,Groundnut,510.8,22.55,31.68,77.7,7.2,115.26,32.87,41.99,1.49
Salem,2021,Rabi,Paddy,260.45,23.78,32.87,78.7,6.41,82.84,50.57,53.61,2.52
Salem,2021,Rabi,Sugarcane,209.89,24.53,36.46,66.38,6.14,131.07,28.49,42.56,36.25
Salem,2021,Rabi,Cotton,185.84,22.4,31.6,65.5,6.45,69.55,42.2,71.74,0.75
Salem,2021,Rabi,Maize,240.6,20.19,31.4,56.37,5.7,89.14,32.72,59.05,3.02
Salem,2021,Rabi,Groundnut,246.32,21.99,34.2,73.85,6.86,104.32,44.88,66.11,1.55
Salem,2022,Kharif,Paddy,415.84,26.38,27.52,59.06,6.53,86.23,47.43,59.27,2.35
Salem,2022,Kharif,Sugarcane,492.6,24.22,31.79,82.68,6.09,104.99,51.93,51.04,36.3
Salem,2022,Kharif,Cotton,538.03,20.85,30.88,61.98,6.76,95.54,26.29,46.24,0.84
Salem,2022,Kharif,Maize,375.41,22.74,30.53,64.93,6.82,92.48,41.71,70.38,2.75
Salem,2022,Kharif,Groundnut,490.6,23.05,32.66,79.3,6.14,125.17,26.17,59.45,1.37
Salem,2022,Rabi,Paddy,182.31,21.78,35.66,60.57,6.48,122.1,34.34,84.31,2.52
Salem,2022,Rabi,Sugarcane,210.84,23.69,29.79,78.52,6.53,120.05,47.3,42.37,42.3
Salem,2022,Rabi,Cotton,220.45,21.79,32.87,57.28,5.77,108.22,49.26,77.02,0.8
Salem,2022,Rabi,Maize,304.11,23.75,36.51,82.57,5.95,70.6,38.99,79.2,2.88
Salem,2022,Rabi,Groundnut,204.6,21.14,32.47,58.69,6.04,97.63,44.69,43.72,1.64
Salem,2023,Kharif,Paddy,567.39,24.22,31.65,54.94,6.95,106.4,35.52,65.29,2.45
Salem,2023,Kharif,Sugarcane,371.9,21.26,27.34,64.1,6.13,100.18,36.55,67.23,40.47
Salem,2023,Kharif,Cotton,574.92,18.91,30.36,76.35,6.74,131.0,39.38,79.12,0.81
Salem,2023,Kharif,Maize,549.93,22.25,34.7,49.05,6.4,73.31,36.6,78.88,2.78
Salem,2023,Kharif,Groundnut,634.38,23.1,28.32,65.42,5.9,95.58,56.67,52.91,1.36
Salem,2023,Rabi,Paddy,248.54,22.58,30.73,78.41,6.78,118.04,47.94,39.87,2.28
Salem,2023,Rabi,Sugarcane,93.75,26.29,31.45,80.44,7.6,114.82,38.19,64.59,34.63
Salem,2023,Rabi,Cotton,250.92,22.73,32.96,65.52,5.94,90.82,29.75,70.27,0.78
Salem,2023,Rabi,Maize,257.45,20.54,33.96,81.14,7.43,123.57,34.83,41.46,2.81
Salem,2023,Rabi,Groundnut,199.36,21.24,30.79,90.55,6.64,105.34,36.69,52.89,1.5
